position,artist,album,release_date,primary_genres,secondary_genres,descriptors,number_ratings,number_reviews,avg_rating,id_spotify
1,"Tyler, the Creator",IGOR,17 May 2019,Neo-Soul,"Alternative R&B, Synth Funk, Neo-Psychedelia, Experimental Hip Hop, Pop Rap","breakup, LGBT, male vocals, love, concept album, lush, sentimental, warm","38,692",347,3.96,5zi7WsKlIiUXv09tbGLKsE
2,Weyes Blood,Titanic Rising,5 April 2019,"Baroque Pop, Art Pop","Progressive Pop, Dream Pop, Psychedelic Pop","female vocals, lush, ethereal, melodic, romantic, longing, bittersweet, soft","21,059",220,3.90,0Cuqhgy8vm96JEkBY3polk
3,FKA twigs,Magdalene,8 November 2019,"Art Pop, Glitch Pop","Ambient Pop, Alternative R&B, Deconstructed Club, Progressive Pop","introspective, female vocals, longing, melancholic, ethereal, atmospheric, breakup, progressive","15,677",114,3.81,3DMR3yM5crnt1dG9lLaMTZ
4,Freddie Gibbs & Madlib,Bandana,28 June 2019,Gangsta Rap,"Jazz Rap, Boom Bap, Conscious Hip Hop, West Coast Hip Hop","sampling, male vocals, drugs, crime, lush, urban, warm, introspective","15,596",92,3.79,31KbO7WnDp2AjPdmRTJzdf
5,JPEGMAFIA,All My Heroes Are Cornballs,13 September 2019,"Experimental Hip Hop, Glitch Hop","Cloud Rap, Alternative R&B, Industrial Hip Hop, Hardcore Hip Hop, Sound Collage","male vocals, surreal, sampling, eclectic, humorous, dense, chaotic, psychedelic","19,888",144,3.76,5ilsl5R2lGACTnPZMKIp7o
6,black midi,Schlagenheim,21 June 2019,"Math Rock, Noise Rock, Experimental Rock","Post-Hardcore, Post-Punk, No Wave, Avant-Prog","complex, male vocals, noisy, manic, dissonant, chaotic, technical, playful","18,713",138,3.75,14LuwckQuyWIvVlKrYuLzP
7,Little Simz,GREY Area,1 March 2019,"UK Hip Hop, Conscious Hip Hop","Jazz Rap, Neo-Soul, Hardcore Hip Hop","female vocals, urban, rhythmic, introspective, conscious, protest, political, anxious","12,436",101,3.78,4Wwm4xg2748zhYuzDRFTgY
8,Purple Mountains,Purple Mountains,12 July 2019,"Alt-Country, Singer-Songwriter, Indie Rock","Folk Rock, Americana","depressive, death, introspective, lonely, breakup, sad, male vocals, melancholic","7,072",57,3.79,5NCdiiTgky5PbjmCtcgwtn
9,Lana Del Rey,Norman Fucking Rockwell!,30 August 2019,"Singer-Songwriter, Art Pop","Dream Pop, Soft Rock, Piano Rock, Neo-Psychedelia, Chamber Pop","female vocals, longing, bittersweet, love, melancholic, romantic, lush, mellow","16,989",196,3.72,5XpEKORZ4y6OrCZSKsi46A
10,Billy Woods & Kenny Segal,Hiding Places,29 March 2019,"Abstract Hip Hop, East Coast Hip Hop","Conscious Hip Hop, Experimental Hip Hop, Jazz Rap","abstract, depressive, male vocals, nihilistic, rhythmic, conscious, pessimistic, dark","7,589",39,3.77,0HmKhR7Umt3ACs52ZLnKyK
11,Lingua Ignota,Caligula,19 July 2019,"Neoclassical Darkwave, Death Industrial",Metal,"hateful, female vocals, angry, violence, disturbing, noisy, death, scary","9,703",95,3.73,2GBJg7nTQs3go1w24ECKvy
